timestamp,player_name,team_name,position,stat_category,old_value,new_value,change,points_change,notification_sent
2025-09-10 18:46:48,Mavropanos,WHU,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 18:46:48,Ekitiké,LIV,FWD,goals,1,0,-1,-4,Yes
2025-09-10 18:46:48,Hermansen,WHU,GK,clean_sheets,0,1,1,4,Yes
2025-09-10 18:46:48,Hermansen,WHU,GK,saves,2,3,1,1,Yes
2025-09-10 18:46:48,Hermansen,WHU,GK,goals_conceded,5,0,-5,2,Yes
2025-09-10 18:46:48,Bowen,WHU,FWD,goals,0,1,1,4,Yes
2025-09-10 18:46:48,José Sá,WOL,GK,saves,3,1,-2,-1,Yes
2025-09-10 18:46:48,José Sá,WOL,GK,goals_conceded,1,3,2,-1,Yes
2025-09-10 18:46:48,R.Gomes,WOL,DEF,goals,0,1,1,6,Yes
2025-09-10 18:46:48,S.Bueno,WOL,DEF,goals_conceded,0,3,3,-1,Yes
2025-09-10 18:46:48,S.Bueno,WOL,DEF,defensive_contribution,4,10,6,2,Yes
2025-09-10 18:46:48,Toti,WOL,DEF,red_cards,1,0,-1,3,Yes
2025-09-10 18:46:48,Toti,WOL,DEF,goals_conceded,1,3,2,-1,Yes
2025-09-10 18:46:48,Toti,WOL,DEF,defensive_contribution,6,11,5,2,Yes
2025-09-10 18:46:48,Bentancur,TOT,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 18:46:48,Alderete,SUN,DEF,goals_conceded,2,1,-1,1,Yes
2025-09-10 18:46:48,Alderete,SUN,DEF,defensive_contribution,9,11,2,2,Yes
2025-09-10 18:46:48,Diakité,BOU,DEF,defensive_contribution,10,7,-3,-2,Yes
2025-09-10 18:46:48,Vicario,TOT,GK,clean_sheets,1,0,-1,-4,Yes
2025-09-10 18:46:48,Møller Wolfe,WOL,DEF,assists,0,1,1,3,Yes
2025-09-10 18:46:48,Hee Chan,WOL,MID,goals,0,1,1,5,Yes
2025-09-10 18:46:48,Walker-Peters,WHU,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 18:46:48,Stach,LEE,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 18:46:48,Spence,TOT,DEF,clean_sheets,1,0,-1,-4,Yes
2025-09-10 18:46:48,Spence,TOT,DEF,yellow_cards,0,1,1,-1,Yes
2025-09-10 18:46:48,Van de Ven,TOT,DEF,clean_sheets,1,0,-1,-4,Yes
2025-09-10 18:46:48,Van de Ven,TOT,DEF,yellow_cards,0,1,1,-1,Yes
2025-09-10 18:46:48,Johnson,TOT,MID,goals,1,0,-1,-5,Yes
2025-09-10 18:46:48,Johnson,TOT,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 18:46:48,Johnson,TOT,MID,yellow_cards,1,0,-1,1,Yes
2025-09-10 18:46:48,J.Palhinha,TOT,MID,goals,1,0,-1,-5,Yes
2025-09-10 18:46:48,J.Palhinha,TOT,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 18:46:48,Ugochukwu,BUR,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 18:46:48,Pope,NEW,GK,assists,1,0,-1,-3,Yes
2025-09-10 18:46:48,Pope,NEW,GK,clean_sheets,0,1,1,4,Yes
2025-09-10 18:46:48,Pope,NEW,GK,yellow_cards,0,1,1,-1,Yes
2025-09-10 18:46:48,Pope,NEW,GK,goals_conceded,3,0,-3,1,Yes
2025-09-10 18:46:48,Aït-Nouri,MCI,DEF,yellow_cards,0,1,1,-1,Yes
2025-09-10 18:46:48,Aït-Nouri,MCI,DEF,goals_conceded,0,2,2,-1,Yes
2025-09-10 18:46:48,Khusanov,MCI,DEF,yellow_cards,0,1,1,-1,Yes
2025-09-10 18:46:48,Rúben,MCI,DEF,goals_conceded,2,1,-1,1,Yes
2025-09-10 18:46:48,Lewis,MCI,DEF,goals_conceded,2,1,-1,1,Yes
2025-09-10 18:46:48,Mount,MUN,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 18:46:48,Casemiro,MUN,MID,assists,0,1,1,3,Yes
2025-09-10 18:46:48,Casemiro,MUN,MID,yellow_cards,1,0,-1,1,Yes
2025-09-10 18:46:48,Bogle,LEE,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 18:46:48,Bogle,LEE,DEF,yellow_cards,1,0,-1,1,Yes
2025-09-10 18:46:48,Bogle,LEE,DEF,goals_conceded,4,0,-4,2,Yes
2025-09-10 18:46:48,Struijk,LEE,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 18:46:48,Struijk,LEE,DEF,goals_conceded,5,0,-5,2,Yes
2025-09-10 18:46:48,Shaw,MUN,DEF,goals_conceded,1,2,1,-1,Yes
2025-09-10 18:46:48,L.Paquetá,WHU,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 18:46:48,L.Paquetá,WHU,MID,defensive_contribution,11,15,4,2,Yes
2025-09-10 18:46:48,Souček,WHU,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 18:46:48,Ward-Prowse,WHU,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 18:46:48,Beto,EVE,FWD,goals,0,1,1,4,Yes
2025-09-10 18:46:48,Beto,EVE,FWD,yellow_cards,1,0,-1,1,Yes
2025-09-10 18:46:48,Leno,FUL,GK,goals_conceded,1,2,1,-1,Yes
2025-09-10 18:46:48,Talbi,SUN,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 18:46:48,Kilman,WHU,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 18:46:48,Kilman,WHU,DEF,goals_conceded,5,0,-5,2,Yes
2025-09-10 18:46:48,Anthony,BUR,MID,assists,1,0,-1,-3,Yes
2025-09-10 18:46:48,Anthony,BUR,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 18:46:48,Anthony,BUR,MID,yellow_cards,0,1,1,-1,Yes
2025-09-10 18:46:48,Bruun Larsen,BUR,MID,assists,0,1,1,3,Yes
2025-09-10 18:46:48,Bruun Larsen,BUR,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 18:46:48,Cullen,BUR,MID,goals,1,0,-1,-5,Yes
2025-09-10 18:46:48,Cullen,BUR,MID,assists,1,0,-1,-3,Yes
2025-09-10 18:46:48,Cullen,BUR,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 18:46:48,Cullen,BUR,MID,own_goals,0,1,1,-2,Yes
2025-09-10 18:46:48,Cullen,BUR,MID,defensive_contribution,7,14,7,2,Yes
2025-09-10 18:46:48,Hudson-Odoi,NFO,MID,goals,1,0,-1,-5,Yes
2025-09-10 18:46:48,Milner,BHA,MID,goals,0,1,1,5,Yes
2025-09-10 18:46:48,Perri,LEE,GK,clean_sheets,0,1,1,4,Yes
2025-09-10 18:46:48,Perri,LEE,GK,goals_conceded,5,0,-5,2,Yes
2025-09-10 18:46:48,Gyökeres,ARS,FWD,goals,2,0,-2,-8,Yes
2025-09-10 18:46:48,Gyökeres,ARS,FWD,yellow_cards,0,1,1,-1,Yes
2025-09-10 18:46:48,Xhaka,SUN,MID,assists,0,1,1,3,Yes
2025-09-10 18:46:48,Xhaka,SUN,MID,yellow_cards,0,1,1,-1,Yes
2025-09-10 18:46:48,Xhaka,SUN,MID,defensive_contribution,13,11,-2,-2,Yes
2025-09-10 18:46:48,Ndoye,NFO,MID,assists,1,0,-1,-3,Yes
2025-09-10 18:46:48,Roefs,SUN,GK,penalties_saved,0,1,1,5,Yes
2025-09-10 18:46:48,Roefs,SUN,GK,saves,0,3,3,1,Yes
2025-09-10 18:46:48,Roefs,SUN,GK,goals_conceded,2,1,-1,1,Yes
2025-09-10 18:46:48,Wilson,WHU,FWD,goals,0,1,1,4,Yes
2025-09-10 18:46:48,Sánchez,CHE,GK,clean_sheets,0,1,1,4,Yes
2025-09-10 18:46:48,Sánchez,CHE,GK,saves,3,1,-2,-1,Yes
2025-09-10 18:46:48,Cucurella,CHE,DEF,assists,1,0,-1,-3,Yes
2025-09-10 18:46:48,Cucurella,CHE,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 18:46:48,Isidor,SUN,FWD,goals,0,1,1,4,Yes
2025-09-10 18:46:48,Neto,CHE,MID,goals,1,0,-1,-5,Yes
2025-09-10 18:46:48,Neto,CHE,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 18:46:48,M.Bizot,AVL,GK,yellow_cards,0,1,1,-1,Yes
2025-09-10 18:46:48,M.Bizot,AVL,GK,goals_conceded,0,3,3,-1,Yes
2025-09-10 18:46:48,Cash,AVL,DEF,yellow_cards,0,1,1,-1,Yes
2025-09-10 18:46:48,Cash,AVL,DEF,goals_conceded,1,2,1,-1,Yes
2025-09-10 18:46:48,Madueke,ARS,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 18:46:48,Martinelli,ARS,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 18:46:48,Dalot,MUN,DEF,assists,0,1,1,3,Yes
2025-09-10 18:46:48,Dalot,MUN,DEF,goals_conceded,1,2,1,-1,Yes
2025-09-10 18:46:48,Gomes,WOL,MID,yellow_cards,1,0,-1,1,Yes
2025-09-10 18:46:48,Munetsi,WOL,MID,assists,0,1,1,3,Yes
2025-09-10 19:01:47,Marmoush,MCI,Unknown,status,a,i,0,0,Yes
2025-09-10 19:01:47,Zinchenko,ARS,Unknown,status,a,n,0,0,Yes
2025-09-10 19:44:23,Mavropanos,WHU,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 19:44:23,Ekitiké,LIV,FWD,goals,1,0,-1,-4,Yes
2025-09-10 19:44:23,Hermansen,WHU,GK,clean_sheets,0,1,1,4,Yes
2025-09-10 19:44:23,Hermansen,WHU,GK,saves,2,3,1,1,Yes
2025-09-10 19:44:23,Hermansen,WHU,GK,goals_conceded,5,0,-5,2,Yes
2025-09-10 19:44:23,Bowen,WHU,FWD,goals,0,1,1,4,Yes
2025-09-10 19:44:23,José Sá,WOL,GK,saves,3,1,-2,-1,Yes
2025-09-10 19:44:23,José Sá,WOL,GK,goals_conceded,1,3,2,-1,Yes
2025-09-10 19:44:23,R.Gomes,WOL,DEF,goals,0,1,1,6,Yes
2025-09-10 19:44:23,S.Bueno,WOL,DEF,goals_conceded,0,3,3,-1,Yes
2025-09-10 19:44:23,S.Bueno,WOL,DEF,defensive_contribution,4,10,6,2,Yes
2025-09-10 19:44:23,Toti,WOL,DEF,red_cards,1,0,-1,3,Yes
2025-09-10 19:44:23,Toti,WOL,DEF,goals_conceded,1,3,2,-1,Yes
2025-09-10 19:44:23,Toti,WOL,DEF,defensive_contribution,6,11,5,2,Yes
2025-09-10 19:44:23,Bentancur,TOT,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 19:44:23,Alderete,SUN,DEF,goals_conceded,2,1,-1,1,Yes
2025-09-10 19:44:23,Alderete,SUN,DEF,defensive_contribution,9,11,2,2,Yes
2025-09-10 19:44:23,Diakité,BOU,DEF,defensive_contribution,10,7,-3,-2,Yes
2025-09-10 19:44:23,Vicario,TOT,GK,clean_sheets,1,0,-1,-4,Yes
2025-09-10 19:44:23,Møller Wolfe,WOL,DEF,assists,0,1,1,3,Yes
2025-09-10 19:44:23,Hee Chan,WOL,MID,goals,0,1,1,5,Yes
2025-09-10 19:44:23,Walker-Peters,WHU,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 19:44:23,Stach,LEE,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 19:44:23,Spence,TOT,DEF,clean_sheets,1,0,-1,-4,Yes
2025-09-10 19:44:23,Spence,TOT,DEF,yellow_cards,0,1,1,-1,Yes
2025-09-10 19:44:23,Van de Ven,TOT,DEF,clean_sheets,1,0,-1,-4,Yes
2025-09-10 19:44:23,Van de Ven,TOT,DEF,yellow_cards,0,1,1,-1,Yes
2025-09-10 19:44:23,Johnson,TOT,MID,goals,1,0,-1,-5,Yes
2025-09-10 19:44:23,Johnson,TOT,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 19:44:23,Johnson,TOT,MID,yellow_cards,1,0,-1,1,Yes
2025-09-10 19:44:23,J.Palhinha,TOT,MID,goals,1,0,-1,-5,Yes
2025-09-10 19:44:23,J.Palhinha,TOT,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 19:44:23,Ugochukwu,BUR,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 19:44:23,Pope,NEW,GK,assists,1,0,-1,-3,Yes
2025-09-10 19:44:23,Pope,NEW,GK,clean_sheets,0,1,1,4,Yes
2025-09-10 19:44:23,Pope,NEW,GK,yellow_cards,0,1,1,-1,Yes
2025-09-10 19:44:23,Pope,NEW,GK,goals_conceded,3,0,-3,1,Yes
2025-09-10 19:44:23,Aït-Nouri,MCI,DEF,yellow_cards,0,1,1,-1,Yes
2025-09-10 19:44:23,Aït-Nouri,MCI,DEF,goals_conceded,0,2,2,-1,Yes
2025-09-10 19:44:23,Khusanov,MCI,DEF,yellow_cards,0,1,1,-1,Yes
2025-09-10 19:44:23,Rúben,MCI,DEF,goals_conceded,2,1,-1,1,Yes
2025-09-10 19:44:23,Lewis,MCI,DEF,goals_conceded,2,1,-1,1,Yes
2025-09-10 19:44:23,Mount,MUN,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 19:44:23,Casemiro,MUN,MID,assists,0,1,1,3,Yes
2025-09-10 19:44:23,Casemiro,MUN,MID,yellow_cards,1,0,-1,1,Yes
2025-09-10 19:44:23,Bogle,LEE,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 19:44:23,Bogle,LEE,DEF,yellow_cards,1,0,-1,1,Yes
2025-09-10 19:44:23,Bogle,LEE,DEF,goals_conceded,4,0,-4,2,Yes
2025-09-10 19:44:23,Struijk,LEE,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 19:44:23,Struijk,LEE,DEF,goals_conceded,5,0,-5,2,Yes
2025-09-10 19:44:23,Shaw,MUN,DEF,goals_conceded,1,2,1,-1,Yes
2025-09-10 19:44:23,L.Paquetá,WHU,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 19:44:23,L.Paquetá,WHU,MID,defensive_contribution,11,15,4,2,Yes
2025-09-10 19:44:23,Souček,WHU,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 19:44:23,Ward-Prowse,WHU,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 19:44:23,Beto,EVE,FWD,goals,0,1,1,4,Yes
2025-09-10 19:44:23,Beto,EVE,FWD,yellow_cards,1,0,-1,1,Yes
2025-09-10 19:44:23,Leno,FUL,GK,goals_conceded,1,2,1,-1,Yes
2025-09-10 19:44:23,Talbi,SUN,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 19:44:23,Kilman,WHU,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 19:44:23,Kilman,WHU,DEF,goals_conceded,5,0,-5,2,Yes
2025-09-10 19:44:23,Anthony,BUR,MID,assists,1,0,-1,-3,Yes
2025-09-10 19:44:23,Anthony,BUR,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 19:44:23,Anthony,BUR,MID,yellow_cards,0,1,1,-1,Yes
2025-09-10 19:44:23,Bruun Larsen,BUR,MID,assists,0,1,1,3,Yes
2025-09-10 19:44:23,Bruun Larsen,BUR,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 19:44:23,Cullen,BUR,MID,goals,1,0,-1,-5,Yes
2025-09-10 19:44:23,Cullen,BUR,MID,assists,1,0,-1,-3,Yes
2025-09-10 19:44:23,Cullen,BUR,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 19:44:23,Cullen,BUR,MID,own_goals,0,1,1,-2,Yes
2025-09-10 19:44:23,Cullen,BUR,MID,defensive_contribution,7,14,7,2,Yes
2025-09-10 19:44:23,Hudson-Odoi,NFO,MID,goals,1,0,-1,-5,Yes
2025-09-10 19:44:23,Milner,BHA,MID,goals,0,1,1,5,Yes
2025-09-10 19:44:23,Perri,LEE,GK,clean_sheets,0,1,1,4,Yes
2025-09-10 19:44:23,Perri,LEE,GK,goals_conceded,5,0,-5,2,Yes
2025-09-10 19:44:23,Gyökeres,ARS,FWD,goals,2,0,-2,-8,Yes
2025-09-10 19:44:23,Gyökeres,ARS,FWD,yellow_cards,0,1,1,-1,Yes
2025-09-10 19:44:23,Xhaka,SUN,MID,assists,0,1,1,3,Yes
2025-09-10 19:44:23,Xhaka,SUN,MID,yellow_cards,0,1,1,-1,Yes
2025-09-10 19:44:23,Xhaka,SUN,MID,defensive_contribution,13,11,-2,-2,Yes
2025-09-10 19:44:23,Ndoye,NFO,MID,assists,1,0,-1,-3,Yes
2025-09-10 19:44:23,Roefs,SUN,GK,penalties_saved,0,1,1,5,Yes
2025-09-10 19:44:23,Roefs,SUN,GK,saves,0,3,3,1,Yes
2025-09-10 19:44:23,Roefs,SUN,GK,goals_conceded,2,1,-1,1,Yes
2025-09-10 19:44:23,Wilson,WHU,FWD,goals,0,1,1,4,Yes
2025-09-10 19:44:23,Sánchez,CHE,GK,clean_sheets,0,1,1,4,Yes
2025-09-10 19:44:23,Sánchez,CHE,GK,saves,3,1,-2,-1,Yes
2025-09-10 19:44:23,Cucurella,CHE,DEF,assists,1,0,-1,-3,Yes
2025-09-10 19:44:23,Cucurella,CHE,DEF,clean_sheets,0,1,1,4,Yes
2025-09-10 19:44:23,Isidor,SUN,FWD,goals,0,1,1,4,Yes
2025-09-10 19:44:23,Neto,CHE,MID,goals,1,0,-1,-5,Yes
2025-09-10 19:44:23,Neto,CHE,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 19:44:23,M.Bizot,AVL,GK,yellow_cards,0,1,1,-1,Yes
2025-09-10 19:44:23,M.Bizot,AVL,GK,goals_conceded,0,3,3,-1,Yes
2025-09-10 19:44:23,Cash,AVL,DEF,yellow_cards,0,1,1,-1,Yes
2025-09-10 19:44:23,Cash,AVL,DEF,goals_conceded,1,2,1,-1,Yes
2025-09-10 19:44:23,Madueke,ARS,MID,clean_sheets,1,0,-1,-1,Yes
2025-09-10 19:44:23,Martinelli,ARS,MID,clean_sheets,0,1,1,1,Yes
2025-09-10 19:44:23,Dalot,MUN,DEF,assists,0,1,1,3,Yes
2025-09-10 19:44:23,Dalot,MUN,DEF,goals_conceded,1,2,1,-1,Yes
2025-09-10 19:44:23,Gomes,WOL,MID,yellow_cards,1,0,-1,1,Yes
2025-09-10 19:44:23,Munetsi,WOL,MID,assists,0,1,1,3,Yes
